rating,review
0,"slowed the progression of left ventricular dysfunction into overt heart failure 
alone or with other agents in the managment of hypertension 
mangagement of congestive heart failur cough, hypotension , proteinuria, impotence , renal failure , angina pectoris , tachycardia , eosinophilic pneumonitis, tastes disturbances , anusease anorecia , weakness fatigue insominca weakness monitor blood pressure , weight and asses for resolution of fluid"
0,"although this type of birth control has more cons than pros, it did help with my cramps. it's also effective with the prevention of pregnancy. (along with use of condoms as well) heavy cycle, cramps, hot flashes, fatigue, long lasting cycles. it's only been  / months, but i'm concidering changing to a different bc. this is my first time using any kind of bc, unfortunately due to the constant hassel, i'm not happy with the results. i hate this birth control, i would not suggest this to anyone."
1,"i was used to having cramps so badly that they would leave me balled up in bed for at least  days.  the ponstel doesn't take the pain away completely, but takes the edge off so much that normal activities were possible. definitely a miracle medication!! heavier bleeding and clotting than normal. i took  pills at the onset of my menstrual cramps and then every - hours took  pill as needed for about - days until cramps were over. if cramps are bad, make sure to take every  hours on the dot because the medication stops working suddenly and unfortunately takes about an hour to an hour and a half to kick back in.. if cramps are only moderate, taking every  hours is okay."
0,"the acid reflux went away for a few months after just a few days of being on the drug. the heartburn started again as soon as i stopped taking it. so i began treatment again.  months passed and i stopped taking it. the heartburn came back, and seemed worse even. the doctor said i should try another  month treatment. i did, and the same exact thing happened. this went on for about three years. i asked why this wasn't curing my reflux. the doctor quite frankly told me that it wasn't a cure, but a ""treatment for the symptoms"". i was told that i would probably be on it for the rest of my life. constipation, dry mouth and some mild dizziness that would go away after medication was stopped for a few days. i was given prilosec prescription at a dose of mg per day. medication was taken once, every morning before eating. each treatment duration was for  months."
0,"i think that the lyrica was starting to help with the pain, but the side-effects were just too severe to continue. i felt extremely drugged and dopey.  could not drive at all while on this med.  also had extreme ankle and feet swelling and couldn't even wear shoes. see above"
0,"after taking propecia for over a year, starting when i was  years of age my hair continued to thin, and i noticed no significant benefits low sex drive, before i started taking this drug i was  years of age and full of ""enthousiasm"". now engaged and  years old, my sex drive is very low, my wife and i are very unsatisfied. i am also very tired even during peak hours throughout the day, and its hard to concentrate on mundain tasks one pill once daily"
1,"my mood has noticably improved, i have more energy, experience better sleep and digestion. a few experiences of nausiea, heavy moodswings on the days i do not take it, decreased appetite, and some negative affect on my short-term memory. i had began taking mg of vyvanse for three months and was surprised to find that such a small dose affected my mood so effectively.  when it came to school work though i found that i needed the mg to increase my level of focus (and have been on it for a month since).  i had not experienced decreased appetite until about a month into taking the mg.  i find that the greatest benefit of vyvanse for me is that it tends to stabalize my mood on a daily basis and lessens any bouts of anxiety and depression that i used to face before i was perscribed."
1,"although this drug was originally prescribed for depression, it helped with sleeplessness. therefore, i have continued to take it for that alone. while i still on occasion have problems falling asleep, i find i can combine it with melatonin or valerian. in  years, i haven't had to increase the elavil dosage. none. one a day, taken about an hour before bedtime."
1,"this simply just works fast and without any of the nasty side effects of ssri medicines. i won't go into a long story of my panic attacks which i sought help for many years after the fact. this just works and it does what it's supposed to without any annoying side effects. when taken daily, it has stopped my panic attacks from starting and thinking patterns that lead to them. i find it can also be used as needed along with the daily treatment. i really don't have any side effects other than the mild but very tolerable issue of taking it - times a day which isn't an effect but just the way you need to take this. at first, within the first  day then couple of weeks after starting, this medicine is broken down by your body fast and you need to adjust your dose. once i got past the ups and downs of the first week or two of getting this increased from . mg -  times per day to what i'm on now things are so stable and just smooth. i first started taking this at  times per day with . mg pills. i was advised not to take as needed with my panic attacks as that would reinforce the idea of taking a pill when it's needed and not help me work around my anxiety. this is totally true. at first i wished to only take them as needed but with my doctor's advice, he was right. this really does work when you take it daily at - times per day. this way your body adjusts to what's going on with the panic and makes no association with taking a pill to prevent or stop it, they just don't start in the first place. yes, i still do have minor attacks and worry episodes here and there but nothing at all like the many years before this. i wish that this extremely helpful medicine would not have such a bad name in media, news and pharmacies. this works wonders and there is no want or need to take more or become and addict. people and doctor's need to  understand more on how to treat someone with something that just works, rather than trying to give them ssri's which are what the drugs companies push, all for money reasons. and, the doctor's out there who decide that ssri's are the only option, they need to go back to medical school!"
0,"none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen. i had some horrifying mental and physical side effects. ruined a year of my life.  read this - it mentions everything i dealt with: http://www.askapatient.com/viewrating.asp?drug=&name=claritin took one  mg pill nightly."
